State FIPS Code,Premature Death Black,Premature Death White,FIPS Code
18,,13547.566599,18155
18,14074.05237,7518.5214812,18157
18,,8885.6769479,18159
18,,10138.10474,18161
18,18788.955934,10157.276794,18163
18,,10414.834199,18165
18,12611.629189,11356.443502,18167
18,,11224.244612,18169
18,,7606.3130102,18171
18,,7801.1784728,18173
18,,13314.210666,18175
18,24016.092003,12424.985984,18177
18,,6566.3257088,18179
18,,10672.313158,18181
18,,7359.3346159,18183
19,13735.071198,7045.5430825,19000
19,,7369.0794815,19001
19,,7082.5132551,19003
19,,7208.8878318,19005
19,,9188.9918716,19007
19,,5268.6385552,19009
19,,6645.9991121,19011
19,15494.051639,7263.0147509,19013
19,,7043.1209992,19015
19,,5883.5817302,19017
19,,5364.4218376,19019
19,,5730.3914821,19021
19,,5399.2189038,19023
19,,7536.1507424,19025
19,,6423.6347594,19027
19,,7824.0030908,19029
19,,5545.9153065,19031
19,,8989.1078939,19033
19,,6976.334198,19035
19,,6727.0886174,19037
19,,9860.5613133,19039
19,,7720.0953714,19041
19,,6391.6029734,19043
19,21511.923759,8613.5886541,19045
19,,8807.9242994,19047
19,,4369.331808,19049
19,,8680.3575216,19051
19,,9593.1099077,19053
19,,6052.7430578,19055
19,15299.411933,9255.4092843,19057
19,,4971.8239715,19059
19,15623.458295,6503.9051123,19061
19,,8472.8642789,19063
19,,7916.5755914,19065
19,,7607.1480633,19067
19,,8934.3800195,19069
19,,8923.6872684,19071
19,,7801.8547445,19073
19,,5098.5434335,19075
19,,6584.0667223,19077
19,,7470.5093084,19079
19,,6314.6049896,19081
19,,7453.9436623,19083
19,,6884.84935,19085
19,,6894.1415736,19087
19,,6197.0381753,19089
19,,7504.5276352,19091
19,,6480.4093591,19093
19,,6373.3522592,19095
19,,7096.9215814,19097
19,,7209.9576698,19099
19,,11023.631548,19101
19,9998.936266,4449.0998827,19103
19,,6227.8932974,19105
19,,8498.0970555,19107
19,,7631.4156114,19109
19,17849.511403,9214.0394375,19111
19,15634.633583,6336.1279983,19113
19,,6594.3573824,19115
19,,8676.3510933,19117
19,,3575.1036608,19119
19,,6113.3992056,19121
19,,7749.6957871,19123
19,,6818.1455977,19125
19,22637.800324,9668.316162,19127
19,,10081.647884,19129
19,,5085.779975,19131
19,,8184.8435951,19133
19,,8030.6642034,19135
19,,8314.5470253,19137
19,,8529.5723681,19139
19,,8687.3570704,19141
19,,8487.3430646,19143
19,,7812.6211972,19145
19,,8060.1290993,19147
19,,6851.0438658,19149
19,,9358.057744,19151
19,14338.655779,7224.8818782,19153
19,20271.754916,9614.0444611,19155
19,,6750.8639985,19157
19,,9022.7869533,19159
19,,7059.6868769,19161
19,16378.658255,6766.3020007,19163
19,,7119.3346916,19165
19,,3775.6195126,19167
19,,5137.0941071,19169
19,,7011.9547323,19171
19,,9311.6844978,19173
19,,9094.1974921,19175
19,,8063.3499478,19177
19,,9995.6311222,19179
19,,6680.1179405,19181
19,,6271.1552282,19183
19,,8742.7257002,19185
19,18347.016108,9749.2674483,19187
19,,5839.491021,19189
19,,4406.7374273,19191
19,12795.304507,9290.5149131,19193
19,,7230.5153317,19195
19,,6238.5723471,19197
20,15606.52595,8119.9640187,20000
20,,10962.008208,20001
20,,8118.1419336,20003
20,24121.04841,9303.8277082,20005
20,,10412.819137,20007
20,,10189.220913,20009
20,,12087.40104,20011
